timestamp,station_id,temperature,charging_status,battery_level,power_draw_kWh
2025-06-28 06:17:50,1,31.23,Occupied,88.16,9.36
2025-06-28 06:17:50,2,26.14,Occupied,96.31,19.29
2025-06-28 06:17:50,3,39.66,Available,,0.0
2025-06-28 06:17:50,4,25.39,Occupied,45.9,8.08
2025-06-28 06:17:50,5,35.34,Available,,0.0
2025-06-28 06:17:55,1,33.24,Available,,0.0
2025-06-28 06:17:55,2,38.2,Occupied,66.2,18.97
2025-06-28 06:17:55,3,29.3,Available,,0.0
2025-06-28 06:17:55,4,33.1,Occupied,47.61,16.91
2025-06-28 06:17:55,5,25.87,Available,,0.0
2025-06-28 06:18:00,1,31.46,Occupied,13.38,9.92
2025-06-28 06:18:00,2,32.12,Available,,0.0
2025-06-28 06:18:00,3,25.34,Occupied,44.1,7.08
2025-06-28 06:18:00,4,39.5,Available,,0.0
2025-06-28 06:18:00,5,35.48,Available,,0.0
2025-06-28 06:18:05,1,38.97,Occupied,36.29,12.14
2025-06-28 06:18:05,2,32.63,Available,,0.0
2025-06-28 06:18:05,3,39.65,Occupied,85.14,14.94
2025-06-28 06:18:05,4,27.88,Available,,0.0
2025-06-28 06:18:05,5,30.21,Occupied,11.82,10.88
2025-06-28 06:18:10,1,37.26,Available,,0.0
2025-06-28 06:18:10,2,25.72,Available,,0.0
2025-06-28 06:18:10,3,37.11,Available,,0.0
2025-06-28 06:18:10,4,35.16,Available,,0.0
2025-06-28 06:18:10,5,37.27,Available,,0.0
2025-06-28 06:18:15,1,35.5,Occupied,22.32,11.98
2025-06-28 06:18:15,2,35.94,Occupied,48.05,6.75
2025-06-28 06:18:15,3,33.89,Occupied,31.36,16.71
2025-06-28 06:18:15,4,28.15,Occupied,28.36,9.03
2025-06-28 06:18:15,5,38.59,Available,,0.0
2025-06-28 06:18:20,1,28.68,Available,,0.0
2025-06-28 06:18:20,2,26.57,Occupied,28.54,15.98
2025-06-28 06:18:20,3,26.02,Available,,0.0
2025-06-28 06:18:20,4,26.69,Occupied,25.83,6.24
2025-06-28 06:18:20,5,27.27,Available,,0.0
2025-06-28 06:18:25,1,33.7,Occupied,10.61,7.67
2025-06-28 06:18:25,2,31.39,Occupied,41.69,19.77
2025-06-28 06:18:25,3,32.23,Available,,0.0
2025-06-28 06:18:25,4,30.76,Occupied,58.76,6.62
2025-06-28 06:18:25,5,31.55,Occupied,56.47,19.93
2025-06-28 06:18:30,1,25.01,Occupied,55.28,8.69
2025-06-28 06:18:30,2,30.18,Available,,0.0
2025-06-28 06:18:30,3,32.4,Occupied,80.6,11.2
2025-06-28 06:18:30,4,38.45,Occupied,94.69,10.09
2025-06-28 06:18:30,5,28.19,Occupied,58.69,7.69
2025-06-28 06:18:35,1,30.29,Available,,0.0
2025-06-28 06:18:35,2,31.5,Occupied,25.35,11.9
2025-06-28 06:18:35,3,33.07,Available,,0.0
2025-06-28 06:18:35,4,25.17,Available,,0.0
2025-06-28 06:18:35,5,30.05,Occupied,26.88,12.2
2025-06-28 06:18:40,1,33.64,Occupied,49.48,9.89
2025-06-28 06:18:40,2,37.06,Occupied,50.25,14.08
2025-06-28 06:18:40,3,28.6,Available,,0.0
2025-06-28 06:18:40,4,29.05,Occupied,12.19,11.85
2025-06-28 06:18:40,5,39.0,Occupied,66.1,17.87
2025-06-28 06:18:45,1,35.03,Occupied,34.46,13.11
2025-06-28 06:18:45,2,27.81,Available,,0.0
2025-06-28 06:18:45,3,33.27,Available,,0.0
2025-06-28 06:18:45,4,32.68,Available,,0.0
2025-06-28 06:18:45,5,30.15,Available,,0.0
2025-06-28 06:18:50,1,27.4,Available,,0.0
2025-06-28 06:18:50,2,30.79,Available,,0.0
2025-06-28 06:18:50,3,27.15,Available,,0.0
2025-06-28 06:18:50,4,38.86,Available,,0.0
2025-06-28 06:18:50,5,33.2,Occupied,59.38,9.85
2025-06-28 06:18:55,1,37.33,Available,,0.0
2025-06-28 06:18:55,2,27.91,Occupied,13.54,6.05
2025-06-28 06:18:55,3,26.86,Available,,0.0
2025-06-28 06:18:55,4,35.0,Available,,0.0
2025-06-28 06:18:55,5,29.74,Occupied,88.14,18.87
